Identifier,Chemical Formula,Si/Al ratio,Note
RWR000,O32Si16,1.0,Primitive P1 all-silica zeolite from IZA.
STI000,O36Si18,1.0,Primitive P1 all-silica zeolite from IZA.
CAN000,O24Si12,1.0,Primitive P1 all-silica zeolite from IZA.
GIS000,O16Si8,1.0,Primitive P1 all-silica zeolite from IZA.
LEV000,O36Si18,1.0,Primitive P1 all-silica zeolite from IZA.
WEI000,O20Si10,1.0,Primitive P1 all-silica zeolite from IZA.
IMF000,O288Si144,1.0,Primitive P1 all-silica zeolite from IZA.
FAU000,O96Si48,1.0,Primitive P1 all-silica zeolite from IZA.
MTF000,O44Si22,1.0,Primitive P1 all-silica zeolite from IZA.
SOS000,O48Si24,1.0,Primitive P1 all-silica zeolite from IZA.
LTN000,O1536Si768,1.0,Primitive P1 all-silica zeolite from IZA.
LOV000,O36Si18,1.0,Primitive P1 all-silica zeolite from IZA.
MFI000,O192Si96,1.0,Primitive P1 all-silica zeolite from IZA.
MFS000,O36Si18,1.0,Primitive P1 all-silica zeolite from IZA.
MEI000,O68Si34,1.0,Primitive P1 all-silica zeolite from IZA.
SFH000,O64Si32,1.0,Primitive P1 all-silica zeolite from IZA.
UWY000,O120Si60,1.0,Primitive P1 all-silica zeolite from IZA.
ESV000,O96Si48,1.0,Primitive P1 all-silica zeolite from IZA.
EON000,O120Si60,1.0,Primitive P1 all-silica zeolite from IZA.
ATV000,O24Si12,1.0,Primitive P1 all-silica zeolite from IZA.
JOZ000,O40Si20,1.0,Primitive P1 all-silica zeolite from IZA.
PHI000,O32Si16,1.0,Primitive P1 all-silica zeolite from IZA.
SFF000,O64Si32,1.0,Primitive P1 all-silica zeolite from IZA.
AEI000,O48Si24,1.0,Primitive P1 all-silica zeolite from IZA.
MON000,O16Si8,1.0,Primitive P1 all-silica zeolite from IZA.
ITE000,O64Si32,1.0,Primitive P1 all-silica zeolite from IZA.
TOL000,O144Si72,1.0,Primitive P1 all-silica zeolite from IZA.
